code,name,vintage,grower,colour,region,appellation,currency,tax,pack,size,lwin,bordeauxCode,productType,url,offer_price,offer_cs,offer_btl
VIEU20B,"Vieux Chateau Certan, Pomerol",2020,Vieux Chateau Certan,Red,Bordeaux,Pomerol,GBP,IB,6,75,1016082,925988,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/vieu-2020,179.17,1,0
LANG20B,"Chateau Angelus, Saint-Emilion Grand Cru",2020,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396807,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2020,183.33,1,0
LANG18B,"Chateau Angelus, Saint-Emilion Grand Cru",2018,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396706,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2018,205.0,1,0
SOLA11B,"Solaia, Toscana",2011,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502265,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2011,210.0,1,0
PALM18B,"Chateau Palmer 3eme Cru Classe, Margaux",2018,Chateau Palmer,Red,Bordeaux,Margaux,GBP,IB,6,75,1013658,1396936,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/palm-2018,221.67,1,0
SOLA10B,"Solaia, Toscana",2010,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502252,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2010,225.0,1,0
LANG16B,"Chateau Angelus, Saint-Emilion Grand Cru",2016,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396865,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2016,264.17,1,0
SOLA15B,"Solaia, Toscana",2015,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502227,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2015,293.33,1,0
HAUT18B,"Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan",2018,Chateau Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1011247,1396870,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/haut-2018,294.17,1,0
PENF10B,"Penfolds, Grange, South Australia",2010,Penfolds,Red,South Australia,None,GBP,IB,6,75,1004285,1502312,Wine,https://bordeauxindex.com/fine-wine/australia/south_australia/penf-2010,300.0,1,0
CHEV18B,"Chateau Cheval Blanc, Saint-Emilion Grand Cru",2018,Chateau Cheval Blanc,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1008108,1396953,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/chev-2018,371.67,1,0
